scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total
optimistic,0,19284.960673591642,,,11015.823241348768,,,,monthly,10.0,1.0,10.0,3591.7602563904557,15693.200417201188,166.66666666666666,8102.470765576206,98.0,2.0,14562.781243285584,15693.200417201184,291255.6248657117
optimistic,0,20106.55148588437,,,19939.884819217703,,,,monthly,11.0,1.0,11.0,3694.718982325059,16411.83250355931,166.66666666666666,0.0,97.0,3.0,13897.209805729672,16411.832503559308,277944.1961145935
optimistic,0,21563.242642130866,,,21396.5759754642,,,,monthly,12.0,1.0,12.0,4235.528327605694,17327.714314525172,166.66666666666666,0.0,97.0,3.0,13799.23086376949,17327.71431452517,275984.6172753898
optimistic,1,154981.63179247896,24000.0,11600.0,119381.63179247896,0.03,97.0,100.0,summary,,,,,,,,,,,,
optimistic,1,5232.502675146211,,,5065.836008479544,,,,monthly,1.0,1.0,1.0,5232.502675146211,0.0,166.66666666666666,0.0,100.0,0.0,5305.753340485231,0.0,106115.06680970464
optimistic,1,9175.22563134379,,,9008.558964677124,,,,monthly,2.0,1.0,2.0,4711.906509754159,4463.319121589631,166.66666666666666,0.0,100.0,0.0,8098.303683045836,4463.319121589631,161966.07366091674
optimistic,1,10112.172664091006,,,6345.5059974243395,,,,monthly,3.0,1.0,3.0,4306.876496681658,5805.296167409348,166.66666666666666,3600.0,100.0,0.0,10265.68988691958,5805.296167409348,205313.7977383916
optimistic,1,12589.854368345925,,,12423.187701679259,,,,monthly,4.0,1.0,4.0,4491.256245290319,8098.598123055606,166.66666666666666,0.0,99.0,1.0,11084.17452568044,8098.598123055606,221683.49051360882
optimistic,1,14311.787419009728,,,14145.120752343062,,,,monthly,5.0,1.0,5.0,4416.4575940727345,9895.329824936993,166.66666666666666,0.0,99.0,1.0,11245.384069972437,9895.329824936996,224907.68139944875
optimistic,1,17067.929830949986,,,16901.26316428332,,,,monthly,6.0,1.0,6.0,4344.176716533699,12723.753114416288,166.66666666666666,0.0,99.0,1.0,10404.71431441739,12723.753114416291,208094.28628834782
optimistic,1,14876.596842029368,,,14709.930175362702,,,,monthly,7.0,1.0,7.0,4805.77280457315,10070.82403745622,166.66666666666666,0.0,99.0,1.0,11182.856713930802,10070.824037456221,223657.13427861602
optimistic,1,14459.122222128928,,,10292.455555462262,,,,monthly,8.0,1.0,8.0,4423.936202529426,10035.186019599503,166.66666666666666,4000.0,99.0,1.0,10422.805886724142,10035.186019599503,208456.11773448283
optimistic,1,14517.599970945017,,,14350.933304278351,,,,monthly,9.0,1.0,9.0,4445.006844096961,10072.593126848056,166.66666666666666,0.0,98.0,2.0,10931.296672097506,10072.593126848062,218625.93344195012
optimistic,1,12137.07459145137,,,11970.407924784704,,,,monthly,10.0,1.0,10.0,4335.940695156455,7801.133896294915,166.66666666666666,0.0,98.0,2.0,12325.529169464604,7801.133896294916,246510.5833892921
optimistic,1,14542.75855617079,,,10376.091889504123,,,,monthly,11.0,1.0,11.0,4144.342571044372,10398.415985126418,166.66666666666666,4000.0,98.0,2.0,12477.9486090082,10398.415985126416,249558.972180164
optimistic,1,15959.007020866855,,,15792.340354200189,,,,monthly,12.0,1.0,12.0,4574.8790237288085,11384.127997138046,166.66666666666666,0.0,97.0,3.0,13621.457920262807,11384.127997138043,272429.15840525617
optimistic,2,175250.22556160175,24000.0,16851.228277838458,134398.99728376328,0.03,97.0,100.0,summary,,,,,,,,,,,,
optimistic,2,4970.4200816476205,,,4803.7534149809535,,,,monthly,1.0,1.0,1.0,4970.4200816476205,0.0,166.66666666666666,0.0,100.0,0.0,5894.402423629377,0.0,117888.04847258756
optimistic,2,9551.31943277024,,,9384.652766103574,,,,monthly,2.0,1.0,2.0,4443.2916007861595,5108.02783198408,166.66666666666666,0.0,100.0,0.0,9257.542263359499,5108.027831984081,185150.84526719
optimistic,2,11710.763281477397,,,11544.09661481073,,,,monthly,3.0,1.0,3.0,4172.339255693662,7538.424025783734,166.66666666666666,0.0,100.0,0.0,11935.868671692951,7538.424025783734,238717.37343385906
optimistic,2,13383.757031701534,,,13217.090365034868,,,,monthly,4.0,1.0,4.0,4092.062826857093,9291.694204844442,166.66666666666666,0.0,100.0,0.0,13470.301453216201,9291.694204844442,269406.02906432404
optimistic,2,14977.159299129917,,,14810.49263246325,,,,monthly,5.0,1.0,5.0,4167.270489788203,10809.888809341714,166.66666666666666,0.0,100.0,0.0,14384.971516875492,10809.888809341712,287699.43033750984
optimistic,2,17191.283860383908,,,17024.61719371724,,,,monthly,6.0,1.0,6.0,3924.8101263863514,13266.473733997556,166.66666666666666,0.0,100.0,0.0,13864.585698897396,13266.473733997558,277291.71397794795
optimistic,2,14720.396931350737,,,5702.501986845613,,,,monthly,7.0,1.0,7.0,4475.025105547762,10245.371825802975,166.66666666666666,8851.228277838458,100.0,0.0,14053.391315725908,10245.371825802977,281067.82631451817
optimistic,2,15275.61940393251,,,7108.952737265843,,,,monthly,8.0,1.0,8.0,4046.083630216075,11229.535773716434,166.66666666666666,8000.0,99.0,1.0,14718.732432072773,11229.535773716438,294374.64864145545
optimistic,2,19919.511410718995,,,19752.844744052327,,,,monthly,9.0,1.0,9.0,3737.050580264616,16182.460830454378,166.66666666666666,0.0,97.0,3.0,13947.583035494723,16182.460830454382,278951.6607098945
optimistic,2,14644.331813054147,,,14477.66514638748,,,,monthly,10.0,1.0,10.0,3697.6123343333334,10946.719478720814,166.66666666666666,0.0,97.0,3.0,14126.48174894859,10946.719478720812,282529.63497897185
optimistic,2,22476.811035556137,,,22310.14436888947,,,,monthly,11.0,1.0,11.0,3874.141263461438,18602.669772094698,166.66666666666666,0.0,97.0,3.0,14451.129343297409,18602.6697720947,289022.5868659482
optimistic,2,16428.851979878586,,,16262.18531321192,,,,monthly,12.0,1.0,12.0,4166.843928414319,12262.008051464269,166.66666666666666,0.0,97.0,3.0,15747.762343709139,12262.008051464265,314955.2468741828
optimistic,3,175097.8688995738,24000.0,20453.578287708362,130644.29061186544,0.04,96.0,100.0,summary,,,,,,,,,,,,
optimistic,3,4748.339353889389,,,981.6726872227218,,,,monthly,1.0,1.0,1.0,4748.339353889389,0.0,166.66666666666666,3600.0,100.0,0.0,5286.468264227729,0.0,105729.36528455459
optimistic,3,9337.554187728925,,,9170.88752106226,,,,monthly,2.0,1.0,2.0,4539.031987085242,4798.522200643683,166.66666666666666,0.0,99.0,1.0,8773.29723751955,4798.522200643683,175465.944750391
optimistic,3,11308.367840454499,,,11141.701173787833,,,,monthly,3.0,1.0,3.0,4174.590867687204,7133.776972767295,166.66666666666666,0.0,99.0,1.0,11775.906623671863,7133.7769727672985,235518.13247343726
optimistic,3,14521.932675047745,,,10355.266008381079,,,,monthly,4.0,1.0,4.0,4233.186044341553,10288.746630706193,166.66666666666666,4000.0,99.0,1.0,13376.830009639798,10288.746630706193,267536.600192796
optimistic,3,17273.828166083327,,,17107.16149941666,,,,monthly,5.0,1.0,5.0,3929.244230581445,13344.583935501883,166.66666666666666,0.0,98.0,2.0,11858.376622110458,13344.58393550188,237167.53244220917
optimistic,3,15477.36576932609,,,15310.699102659424,,,,monthly,6.0,1.0,6.0,4252.3710825363205,11224.99468678977,166.66666666666666,0.0,98.0,2.0,12810.816358607954,11224.994686789772,256216.3271721591
optimistic,3,15369.895305735703,,,15203.228639069037,,,,monthly,7.0,1.0,7.0,4580.383508632657,10789.511797103045,166.66666666666666,0.0,98.0,2.0,13802.705415335831,10789.511797103047,276054.10830671666
optimistic,3,15374.674093625657,,,15208.007426958991,,,,monthly,8.0,1.0,8.0,4079.168669021909,11295.505424603749,166.66666666666666,0.0,98.0,2.0,14946.321155956057,11295.505424603749,298926.4231191212
optimistic,3,16551.47793460347,,,16384.811267936802,,,,monthly,9.0,1.0,9.0,3771.3808238070105,12780.097110796461,166.66666666666666,0.0,98.0,2.0,15550.121586561256,12780.097110796461,311002.4317312251
optimistic,3,17526.375416381343,,,17359.708749714675,,,,monthly,10.0,1.0,10.0,3701.232588335835,13825.142828045507,166.66666666666666,0.0,98.0,2.0,14198.97573190462,13825.142828045504,283979.5146380924
optimistic,3,16550.209399181746,,,3529.9644448067174,,,,monthly,11.0,1.0,11.0,3806.128006870654,12744.08139231109,166.66666666666666,12853.578287708362,98.0,2.0,13224.078073192562,12744.081392311089,264481.56146385125
optimistic,3,21057.848757515938,,,20891.18209084927,,,,monthly,12.0,1.0,12.0,4345.397452792336,16712.451304723603,166.66666666666666,0.0,96.0,4.0,12345.750646279494,16712.4513047236,246915.0129255899
optimistic,4,159249.30878061394,24000.0,12000.0,123249.30878061394,0.03,97.0,100.0,summary,,,,,,,,,,,,
optimistic,4,5142.801050186938,,,4976.134383520271,,,,monthly,1.0,1.0,1.0,5142.801050186938,0.0,166.66666666666666,0.0,100.0,0.0,5016.707598673829,0.0,100334.15197347659
optimistic,4,8941.617779747356,,,8774.95111308069,,,,monthly,2.0,1.0,2.0,4511.7870224220915,4429.830757325264,166.66666666666666,0.0,100.0,0.0,7590.979198857319,4429.830757325265,151819.5839771464
optimistic,4,11421.28672612827,,,7654.620059461604,,,,monthly,3.0,1.0,3.0,4539.50373266468,6881.782993463591,166.66666666666666,3600.0,100.0,0.0,9099.087298285462,6881.782993463592,181981.74596570924
optimistic,4,11566.275611083971,,,11399.608944417305,,,,monthly,4.0,1.0,4.0,4546.085346891897,7020.190264192074,166.66666666666666,0.0,99.0,1.0,9890.63187331174,7020.190264192074,197812.63746623482
optimistic,4,13349.371685857524,,,9182.705019190858,,,,monthly,5.0,1.0,5.0,4584.111109873535,8765.26057598399,166.66666666666666,4000.0,99.0,1.0,11341.342592696843,8765.260575983988,226826.85185393685
optimistic,4,14697.521283308157,,,14530.85461664149,,,,monthly,6.0,1.0,6.0,4366.352790489806,10331.168492818351,166.66666666666666,0.0,98.0,2.0,11744.78511548713,10331.168492818351,234895.70230974263
optimistic,4,14779.339572009176,,,14612.67290534251,,,,monthly,7.0,1.0,7.0,4676.1412062026675,10103.19836580651,166.66666666666666,0.0,98.0,2.0,12575.667085908137,10103.19836580651,251513.3417181628
optimistic,4,14759.642878453986,,,14592.97621178732,,,,monthly,8.0,1.0,8.0,4142.266733402066,10617.37614505192,166.66666666666666,0.0,98.0,2.0,13126.362314177924,10617.376145051914,262527.2462835585
optimistic,4,15692.443428759503,,,15525.776762092837,,,,monthly,9.0,1.0,9.0,4072.3610568119457,11620.082371947557,166.66666666666666,0.0,98.0,2.0,12574.749740680994,11620.082371947561,251494.9948136199
optimistic,4,16759.100943428624,,,16592.434276761956,,,,monthly,10.0,1.0,10.0,4217.03572075536,12542.065222673265,166.66666666666666,0.0,98.0,2.0,10707.144942185347,12542.065222673267,214142.89884370696
optimistic,4,15002.806936562381,,,14836.140269895715,,,,monthly,11.0,1.0,11.0,4187.924690820185,10814.882245742196,166.66666666666666,0.0,98.0,2.0,10483.0212545079,10814.882245742197,209660.42509015798
optimistic,4,17137.10088508802,,,12570.434218421353,,,,monthly,12.0,1.0,12.0,4701.730487412041,12435.37039767598,166.66666666666666,4400.0,98.0,2.0,11072.988315499055,12435.37039767598,221459.76630998112
optimistic,5,176447.85120296862,24000.0,27166.460391041397,125281.39081192722,0.06,94.0,100.0,summary,,,,,,,,,,,,
optimistic,5,4932.546456140324,,,-2434.120210526343,,,,monthly,1.0,1.0,1.0,4932.546456140324,0.0,166.66666666666666,7200.0,100.0,0.0,5592.133103589629,0.0,111842.66207179258
optimistic,5,9171.699905876801,,,9005.033239210135,,,,monthly,2.0,1.0,2.0,4314.792248911778,4856.907656965023,166.66666666666666,0.0,98.0,2.0,9072.926950150731,4856.907656965024,181458.53900301462
optimistic,5,10934.765134233545,,,10768.098467566879,,,,monthly,3.0,1.0,3.0,3957.0791689683056,6977.68596526524,166.66666666666666,0.0,98.0,2.0,11615.555759552846,6977.685965265241,232311.11519105695
optimistic,5,13741.824597772877,,,9575.15793110621,,,,monthly,4.0,1.0,4.0,4345.985451007219,9395.839146765658,166.66666666666666,4000.0,98.0,2.0,13344.596500939024,9395.839146765662,266891.93001878046
optimistic,5,14779.601140161645,,,14612.93447349498,,,,monthly,5.0,1.0,5.0,4042.1310735364373,10737.470066625208,166.66666666666666,0.0,97.0,3.0,14546.815104527896,10737.470066625207,290936.30209055793
optimistic,5,17483.69541068206,,,17317.02874401539,,,,monthly,6.0,1.0,6.0,3826.768511371274,13656.926899310785,166.66666666666666,0.0,97.0,3.0,14328.921194982766,13656.926899310785,286578.42389965535
optimistic,5,14761.532632584725,,,14594.86596591806,,,,monthly,7.0,1.0,7.0,4329.262903963949,10432.269728620777,166.66666666666666,0.0,97.0,3.0,15684.801034524746,10432.269728620777,313696.020690495
optimistic,5,17996.155827763483,,,5863.028770055418,,,,monthly,8.0,1.0,8.0,3771.7219220654865,14224.433905697997,166.66666666666666,11966.460391041397,97.0,3.0,14788.018079230607,14224.433905697997,295760.36158461217
optimistic,5,14842.78012599194,,,14676.113459325274,,,,monthly,9.0,1.0,9.0,3668.898647934681,11173.88147805726,166.66666666666666,0.0,95.0,5.0,14605.039111181193,11173.881478057257,292100.7822236239
optimistic,5,16178.421463362392,,,16011.754796695726,,,,monthly,10.0,1.0,10.0,3755.3956950952256,12423.025768267167,166.66666666666666,0.0,95.0,5.0,14814.034724466967,12423.025768267169,296280.69448933937
optimistic,5,20350.52774328804,,,16183.861076621371,,,,monthly,11.0,1.0,11.0,3585.2908203990078,16765.23692288903,166.66666666666666,4000.0,95.0,5.0,13716.937341856668,16765.23692288903,274338.7468371334
optimistic,5,21274.300765110806,,,21107.634098444138,,,,monthly,12.0,1.0,12.0,4046.2187849223833,17228.08198018842,166.66666666666666,0.0,94.0,6.0,13128.353951752673,17228.081980188424,262567.0790350535
optimistic,6,166980.8543131289,24000.0,29754.25137135259,113226.6029417763,0.06,94.0,100.0,summary,,,,,,,,,,,,
optimistic,6,5109.408506402182,,,4942.741839735515,,,,monthly,1.0,1.0,1.0,5109.408506402182,0.0,166.66666666666666,0.0,100.0,0.0,5511.810261250739,0.0,110236.2052250148
