mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,2982.251551758398,2259.4904517440177,5241.742003502415,666.6666666666666,15750.0,-11174.924663164253,100,0
2,1,2,2740.081511894889,2327.2811672025678,5067.362679097457,666.6666666666666,27130.330425906934,-22729.634413476146,96,4
3,1,3,2548.810319955787,3025.617228146034,5574.427548101821,666.6666666666666,25646.270122087077,-20738.50924065192,92,8
4,1,4,2553.962195164518,3007.615933705475,5561.578128869993,666.6666666666666,35000.0,-30105.088537796673,87,13
5,1,5,2339.468676158266,3304.5401550912507,5644.008831249517,666.6666666666666,17500.0,-12522.65783541715,79,21
6,1,6,2168.084484757864,3562.024398261593,5730.108883019457,666.6666666666666,13125.0,-8061.55778364721,75,25
7,1,7,2247.7729546474875,2655.2063365083777,4902.979291155865,666.6666666666666,20284.67535197731,-16048.362727488111,72,28
8,1,8,2066.7619158448665,3014.6687610395925,5081.430676884459,666.6666666666666,13125.0,-8710.235989782208,70,30
9,1,9,1955.1008093864684,3208.2222240596357,5163.323033446104,666.6666666666666,13125.0,-8628.343633220564,67,33
10,1,10,1886.8354611304214,3507.632683626544,5394.468144756966,666.6666666666666,8750.0,-4022.1985219097014,64,36
11,1,11,1732.72596154578,3732.2198934917483,5464.945855037528,666.6666666666666,38591.086804323204,-33792.80761595234,62,38
12,1,12,1679.6684797261357,3402.7902927524265,5082.458772478562,666.6666666666666,19250.0,-14834.207894188105,55,45
13,2,1,1274.4110688146566,2532.9161783707796,3807.327247185436,666.6666666666666,6142.37399864323,-3001.7134181244605,51,49
14,2,2,1340.1424754459997,2341.3736656868327,3681.5161411328327,666.6666666666666,32758.760252376225,-29743.91077791006,50,50
15,2,3,1260.2377976185626,2544.2620465459177,3804.4998441644802,666.6666666666666,27233.393183986125,-24095.56000648831,48,52
16,2,4,1198.1076438443065,2234.5723333024166,3432.679977146723,666.6666666666666,8750.0,-5983.986689519943,43,57
17,2,5,1142.9768321097245,1515.6210855941802,2658.5979177039044,666.6666666666666,13735.176782735523,-11743.245531698285,41,59
18,2,6,1242.7250310919887,2040.6149613967941,3283.3399924887826,666.6666666666666,8750.0,-6133.326674177884,40,60
19,2,7,1199.8650413836845,2333.438808709671,3533.3038500933553,666.6666666666666,14437.5,-11570.862816573312,38,62
20,2,8,921.7853895346328,1620.7294966865934,2542.5148862212263,666.6666666666666,18778.433874704446,-16902.585655149887,35,65
21,2,9,956.0092273731863,626.0449890842119,1582.054216457398,666.6666666666666,33913.04102707476,-32997.65347728403,33,67
22,2,10,938.517561990933,1200.6861933707562,2139.203755361689,666.6666666666666,4375.0,-2902.4629113049773,30,70
23,2,11,817.4751069303223,856.8721558474232,1674.3472627777455,666.6666666666666,11842.82186125813,-10835.141265147051,29,71
24,2,12,913.0849443491318,585.8131782446837,1498.8981225938155,666.6666666666666,9625.0,-8792.768544072851,28,72
25,3,1,698.2414640273275,587.7075992590024,1285.9490632863299,666.6666666666666,0.0,619.2823966196632,26,74
26,3,2,716.2664861106653,862.2374521494685,1578.5039382601337,666.6666666666666,3937.5,-3025.662728406533,26,74
27,3,3,658.3336065069763,1051.06915996165,1709.4027664686264,666.6666666666666,3937.5,-2894.76390019804,25,75
28,3,4,668.9116547333115,346.18447151639293,1015.0961262497044,666.6666666666666,14765.457848555598,-14417.02838897256,24,76
29,3,5,640.0821346774752,439.6056384040977,1079.687773081573,666.6666666666666,8750.0,-8336.978893585094,22,78
30,3,6,591.4594848625891,444.9700036848177,1036.429488547407,666.6666666666666,13125.0,-12755.23717811926,20,80
31,3,7,574.373694488937,719.2352065016594,1293.6089009905963,666.6666666666666,0.0,626.9422343239297,17,83
32,3,8,500.9173915334826,784.6023991849262,1285.5197907184088,666.6666666666666,0.0,618.8531240517422,17,83
33,3,9,482.90987736241203,770.9254734054648,1253.835350767877,666.6666666666666,0.0,587.1686841012103,17,83
34,3,10,460.5391797454571,750.2007426148974,1210.7399223603545,666.6666666666666,0.0,544.0732556936879,17,83
35,3,11,485.17254031262814,833.2613498465523,1318.4338901591805,666.6666666666666,0.0,651.7672234925138,17,83
36,3,12,522.3488824159544,605.0094910238231,1127.3583734397776,666.6666666666666,14437.5,-13976.80829322689,17,83
