mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,6188.84416607558,5957.2505096556015,12146.094675731181,500.0,63127.721183414855,-51481.62650768367,100,0
2,1,2,5257.891080911348,9257.088924675969,14514.980005587317,500.0,23553.826112337578,-9538.846106750261,91,9
3,1,3,4973.055791016087,11961.996975734568,16935.052766750654,500.0,6750.0,9685.052766750654,89,11
4,1,4,5249.05910497156,10812.561532063755,16061.620637035316,500.0,59815.86138458757,-44254.240747552256,88,12
5,1,5,5043.491799902404,12254.650962210517,17298.14276211292,500.0,22500.0,-5701.857237887081,83,17
6,1,6,4733.24417178567,13074.88017144521,17808.12434323088,500.0,55882.15418371324,-38574.029840482355,80,20
7,1,7,4582.263721286296,12280.799512217647,16863.06323350394,500.0,23640.51122384097,-7277.44799033703,74,26
8,1,8,4119.463884659443,12183.802531931868,16303.26641659131,500.0,46060.61925133066,-30257.35283473935,72,28
9,1,9,3800.6839395938937,11466.838693712198,15267.522633306091,500.0,15000.0,-232.47736669390906,68,32
10,1,10,3840.6273561707776,12536.688297056622,16377.3156532274,500.0,23050.442306797977,-7173.126653570576,66,34
11,1,11,3530.3358597727456,12245.466286610143,15775.802146382888,500.0,22255.196235473686,-6979.394089090798,65,35
12,1,12,3825.6380964344944,10266.035974669838,14091.674071104331,500.0,35771.740494997575,-22180.066423893244,64,36
13,2,1,3051.545800765778,11796.252951604252,14847.79875237003,500.0,13500.0,847.7987523700303,60,40
14,2,2,2728.1454909538493,9782.888399479083,12511.033890432933,500.0,52022.7080242317,-40011.67413379877,58,42
15,2,3,2802.7240695438954,8172.4840682621825,10975.208137806078,500.0,27816.19598072765,-17340.987842921575,55,45
16,2,4,2996.781826242496,6947.076404960136,9943.858231202632,500.0,15000.0,-5556.141768797368,53,47
17,2,5,2949.7763741242047,6285.572766008661,9235.349140132867,500.0,8570.75677103609,164.59236909677566,51,49
18,2,6,2919.9475780595676,6173.479381588148,9093.426959647715,500.0,7500.0,1093.4269596477152,50,50
19,2,7,3356.6382480003745,6865.781511747315,10222.419759747689,500.0,0.0,9722.419759747689,49,51
20,2,8,3014.215324633228,5065.595874682889,8079.811199316117,500.0,24233.42387249281,-16653.612673176693,49,51
21,2,9,2763.5650783365554,4758.859316829178,7522.424395165734,500.0,22500.0,-15477.575604834266,48,52
22,2,10,2667.2066209109876,6117.250707965486,8784.457328876473,500.0,25716.704006669403,-17432.24667779293,45,55
23,2,11,2353.2214699812444,5381.234423917852,7734.455893899096,500.0,15000.0,-7765.544106100904,42,58
24,2,12,2527.059142973363,6256.321673716054,8783.380816689416,500.0,25973.660396438798,-17690.27957974938,40,60
25,3,1,1974.4752745020553,7189.594970198161,9164.070244700217,500.0,6750.0,1914.0702447002168,38,62
26,3,2,1783.38748761235,6696.964064915177,8480.351552527527,500.0,34622.140069005516,-26641.788516477987,37,63
27,3,3,1596.747536831866,5171.464643211624,6768.212180043491,500.0,32014.16804108455,-25745.95586104106,33,67
28,3,4,1657.5868221920684,3980.667758985986,5638.254581178055,500.0,21484.33944283396,-16346.084861655905,31,69
29,3,5,1778.3934887836958,4338.72055014717,6117.114038930866,500.0,0.0,5617.114038930866,30,70
30,3,6,1857.8145317183319,4366.104479478862,6223.919011197194,500.0,53904.453356117185,-48180.53434491999,30,70
31,3,7,1534.5666543534473,4467.374462610468,6001.941116963915,500.0,0.0,5501.941116963915,26,74
32,3,8,1410.395469620898,3660.303730635498,5070.699200256397,500.0,20780.278087338887,-16209.57888708249,26,74
33,3,9,1403.4587463954958,3418.950005256541,4822.408751652037,500.0,7500.0,-3177.5912483479633,25,75
34,3,10,1392.366513908548,2910.5914821043652,4302.957996012913,500.0,0.0,3802.957996012913,24,76
35,3,11,1367.2891142014082,1978.5560715397205,3345.8451857411287,500.0,15000.0,-12154.15481425887,24,76
36,3,12,1402.0160895368779,1962.1176548609103,3364.133744397788,500.0,0.0,2864.133744397788,22,78
