escenario,ingresos_totales,gastos_totales,perdidas_totales,ganancia_neta,tasa_morosidad,clientes_activos_final
optimistic,1635919.399837538,72000.0,1771074.3288266729,-207154.92898913496,0.65,35
opt_neut,705621.2398090181,144000.0,1205217.814694225,-643596.574885207,0.72,28
neutral,312059.947427255,216000.0,700968.1883461447,-604908.2409188898,0.74,26
pes_neut,112741.68244525754,288000.0,496571.82153362856,-671830.1390883711,0.86,14
pessimistic,20092.305710786874,360000.0,213490.80414715246,-553398.4984363655,0.91,9
