mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,24683.130880778677,22793.090059106093,47476.22093988477,166.66666666666666,44356.71389100012,2952.8403822179826,100,0
2,1,2,21894.339104413943,30610.988449099565,52505.3275535135,166.66666666666666,70660.62823371717,-18321.967346870333,98,2
3,1,3,20246.93164675727,36309.932318687475,56556.86396544475,166.66666666666666,113920.75490780301,-57530.55760902493,94,6
4,1,4,21759.86454190587,42616.27684611925,64376.14138802512,166.66666666666666,103975.78627973673,-39766.31155837827,89,11
5,1,5,19190.76981612372,46826.11205787175,66016.88187399547,166.66666666666666,20322.14028229689,45528.07492503191,85,15
6,1,6,19086.013784716964,47834.57608110488,66920.58986582185,166.66666666666666,0.0,66753.92319915518,84,16
7,1,7,20631.615858645186,45434.91135528276,66066.52721392794,166.66666666666666,45539.238757010455,20360.621790250814,84,16
8,1,8,18772.66935839635,49776.19517138375,68548.8645297801,166.66666666666666,60000.0,8382.197863113426,83,17
9,1,9,17416.45048493952,47443.182240601825,64859.63272554135,166.66666666666666,116248.47171297042,-51555.50565409574,80,20
10,1,10,16196.0405997415,44356.254227149744,60552.294826891244,166.66666666666666,0.0,60385.62816022458,76,24
11,1,11,17451.653585419182,44275.57950025626,61727.23308567544,166.66666666666666,151705.87092513248,-90145.3045061237,76,24
12,1,12,17304.54404426251,46640.16196298709,63944.7060072496,166.66666666666666,22000.0,41778.03934058294,71,29
13,2,1,13777.512810176373,41729.19369730162,55506.706507478,166.66666666666666,67719.05583238325,-12379.01599157192,70,30
14,2,2,13113.869057022563,37085.69005094209,50199.559107964655,166.66666666666666,65230.165872131016,-15197.273430833025,68,32
15,2,3,13726.444755192711,36003.7108188676,49730.15557406031,166.66666666666666,18000.0,31563.488907393643,66,34
16,2,4,14822.016837687404,37522.14985578298,52344.16669347038,166.66666666666666,71550.75587298165,-19373.255846177934,65,35
17,2,5,13982.124612171694,35240.529731698036,49222.654343869726,166.66666666666666,20000.0,29055.987677203062,63,37
18,2,6,13739.829884294119,34892.52399412658,48632.353878420705,166.66666666666666,84922.02519954089,-36456.33798778685,62,38
19,2,7,14515.739201016571,32313.779029225345,46829.51823024191,166.66666666666666,87852.54230143268,-41189.69073785743,60,40
20,2,8,12706.883256532097,30945.009489981658,43651.89274651375,166.66666666666666,0.0,43485.22607984709,57,43
21,2,9,12962.771640902854,31500.75230821028,44463.523949113136,166.66666666666666,40000.0,4296.857282446472,57,43
22,2,10,12264.792051068547,32624.402105567653,44889.1941566362,166.66666666666666,31765.751292038032,12956.776197931504,55,45
23,2,11,11917.003927844473,28507.66251384294,40424.66644168741,166.66666666666666,20000.0,20257.999775020748,54,46
24,2,12,12796.04894417592,27117.047924291423,39913.09686846734,166.66666666666666,46056.374884792305,-6309.944682991627,53,47
25,3,1,10599.446303131403,23839.502394193492,34438.94869732489,166.66666666666666,18000.0,16272.282030658229,51,49
26,3,2,10704.234960251733,20443.09592826422,31147.330888515957,166.66666666666666,56410.29054672152,-25429.626324872228,50,50
27,3,3,10310.889513841708,23208.086763046973,33518.97627688868,166.66666666666666,43158.81531244208,-9806.505702220064,48,52
28,3,4,11023.861740191904,20961.483016730617,31985.34475692252,166.66666666666666,66564.72575492974,-34746.04766467388,47,53
29,3,5,10764.961669033682,10489.391196773033,21254.352865806715,166.66666666666666,95688.94105510539,-74601.25485596534,45,55
30,3,6,10899.130031314879,15680.256095048338,26579.386126363217,166.66666666666666,20000.0,6412.719459696549,42,58
31,3,7,10894.311569242764,17998.831846760226,28893.14341600299,166.66666666666666,48366.00883250251,-19639.532083166192,41,59
32,3,8,9320.348930499516,17224.221518425526,26544.570448925042,166.66666666666666,0.0,26377.903782258374,40,60
33,3,9,9386.529110724397,14142.126185862924,23528.65529658732,166.66666666666666,20000.0,3361.988629920652,40,60
34,3,10,9730.533919909267,16563.649001482314,26294.18292139158,166.66666666666666,79059.27108000466,-52931.75482527975,39,61
35,3,11,8428.42831676793,12964.596716849668,21393.025033617596,166.66666666666666,0.0,21226.358366950928,36,64
36,3,12,9722.531788258955,15260.178847257435,24982.710635516392,166.66666666666666,22000.0,2816.0439688497245,36,64
