escenario,ingresos_totales,gastos_totales,perdidas_totales,ganancia_neta,tasa_morosidad,clientes_activos_final
optimistic,1823905.8434669846,72000.0,1676197.4043183066,75708.43914867798,0.66,34
opt_neut,981464.7092440057,144000.0,1229026.8614902222,-391562.1522462164,0.77,23
neutral,376476.1914534526,216000.0,827296.9004244707,-666820.7089710181,0.78,22
pes_neut,94155.37502363212,288000.0,519823.8070341826,-713668.4320105505,0.86,14
pessimistic,21924.354978473675,360000.0,227606.07266371138,-565681.7176852378,0.92,8
