escenario,ingresos_totales,gastos_totales,perdidas_totales,ganancia_neta,tasa_morosidad,clientes_activos_final
optimistic,319897357.3832315,180000000.0,105553119.07970192,34344238.303529605,0.2998,7002
opt_neut,217368236.24003267,178200000.0,146856090.22685826,-107687853.98682559,0.5205555555555555,4315
neutral,150690032.3794292,172800000.0,145211731.1298676,-167321698.75043842,0.662875,2697
pes_neut,96642924.58804005,152100000.0,120469664.30327754,-175926739.7152375,0.7684615384615384,1505
pessimistic,59769793.13502361,126000000.0,87491951.61584386,-153722158.48082024,0.837,815
