mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,6239.693922957386,4985.429493824671,11225.123416782058,500.0,13500.0,-2774.8765832179415,100,0
2,1,2,5501.685571107206,6975.294565497518,12476.980136604725,500.0,31223.417382677282,-19246.437246072557,98,2
3,1,3,5309.132990825307,7714.107760517285,13023.240751342593,500.0,13500.0,-976.7592486574067,94,6
4,1,4,5593.428566668389,7522.202858285983,13115.631424954372,500.0,60450.72143839419,-47835.09001343982,92,8
5,1,5,5099.861759879045,8744.012174924432,13843.873934803476,500.0,13878.820677701051,-534.946742897575,85,15
6,1,6,4892.590463875972,8840.05116821338,13732.641632089351,500.0,7500.0,5732.641632089351,83,17
7,1,7,5414.52913367267,9077.5480326203,14492.07716629297,500.0,24482.099807108712,-10490.022640815743,82,18
8,1,8,4644.341364465749,9450.25098561415,14094.5923500799,500.0,40950.248959394565,-27355.656609314665,79,21
9,1,9,4221.473121538379,7776.623894894551,11998.09701643293,500.0,22500.0,-11001.90298356707,74,26
10,1,10,4183.260906531528,7219.636880461567,11402.897786993095,500.0,60348.472734722905,-49445.57494772981,71,29
11,1,11,3975.0253392650757,7022.138577472996,10997.16391673807,500.0,0.0,10497.16391673807,65,35
12,1,12,4285.76797513613,7198.470843497304,11484.238818633434,500.0,45271.75084500498,-34287.51202637154,65,35
13,2,1,3343.0990378515144,6356.386018355627,9699.48505620714,500.0,20250.0,-11050.51494379286,62,38
14,2,2,3256.4149222431165,5386.894245216759,8643.309167459876,500.0,6750.0,1393.3091674598763,59,41
15,2,3,3167.873411170716,4790.914728766038,7958.788139936754,500.0,24326.050856968202,-16867.262717031448,58,42
16,2,4,3474.815583005914,5697.485462379908,9172.301045385822,500.0,23620.142893069802,-14947.84184768398,56,44
17,2,5,3253.359479960967,5573.784625279596,8827.144105240563,500.0,22201.783653991846,-13874.639548751284,55,45
18,2,6,3204.1651219734586,5896.521213850545,9100.686335824004,500.0,20045.744922123813,-11445.058586299809,53,47
19,2,7,3371.617162449808,5634.764607553915,9006.381770003723,500.0,8250.0,256.38177000372343,52,48
20,2,8,3200.9102363916645,4427.711266463484,7628.621502855149,500.0,38567.7785973517,-31439.157094496553,51,49
21,2,9,2995.401639875652,4921.3042659965895,7916.705905872242,500.0,15000.0,-7583.294094127758,48,52
22,2,10,2790.066805066452,5657.341371707681,8447.408176774134,500.0,0.0,7947.408176774134,46,54
23,2,11,2721.305090794929,5068.467441899096,7789.772532694025,500.0,37500.0,-30210.227467305973,46,54
24,2,12,2666.0943943412094,3761.8411883022873,6427.935582643497,500.0,40960.98767550028,-35033.05209285678,41,59
25,3,1,2064.9765223262075,3702.937939596798,5767.914461923006,500.0,25344.358273042963,-20076.443811119956,38,62
26,3,2,1971.4324627942538,4032.3661124448195,6003.798575239073,500.0,0.0,5503.798575239073,36,64
27,3,3,1967.6939706427243,3724.7171578299412,5692.411128472666,500.0,23795.809629092397,-18603.398500619733,36,64
28,3,4,2002.6541963219124,3316.2774587282306,5318.931655050143,500.0,7500.0,-2681.0683449498574,34,66
29,3,5,2016.7686837258038,2975.4834896420703,4992.252173367874,500.0,7500.0,-3007.747826632126,33,67
30,3,6,1941.3953538661283,2930.4922825364024,4871.887636402531,500.0,7500.0,-3128.112363597469,32,68
31,3,7,2042.0222778376237,2532.214422621081,4574.236700458705,500.0,0.0,4074.236700458705,31,69
32,3,8,1916.5847582871434,3098.4881279679703,5015.072886255113,500.0,7500.0,-2984.927113744887,31,69
33,3,9,1753.7231127999964,2357.8828275778455,4111.605940377842,500.0,7500.0,-3888.3940596221582,30,70
34,3,10,1908.277020673477,2565.0182849003672,4473.295305573844,500.0,7500.0,-3526.7046944261556,29,71
35,3,11,1848.141597101621,1969.8593690397934,3818.000966141414,500.0,7500.0,-4181.999033858586,28,72
36,3,12,1869.6678311197008,3045.7744942292534,4915.442325348954,500.0,8250.0,-3834.557674651046,27,73
