mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,6484617.736648555,2161166.0415453254,8645783.77819388,416666.6666666667,2190451.228040262,6038665.883486951,10000,0
2,1,2,5736213.34724649,3380326.232002744,9116539.579249235,416666.6666666667,2933920.0155959115,5765952.896986658,9903,97
3,1,3,5290857.317834905,4043230.4028813727,9334087.720716279,416666.6666666667,2937557.7789805154,5979863.275069097,9796,204
4,1,4,5581113.269497599,4536057.2439169865,10117170.513414586,416666.6666666667,3088353.4379068203,6612150.4088411,9697,303
5,1,5,5346703.094385068,4808342.553614461,10155045.647999529,416666.6666666667,3471501.0123233492,6266877.969009513,9604,396
6,1,6,5193382.6486618295,4946140.533619941,10139523.18228177,416666.6666666667,3094091.366316738,6628765.149298366,9505,495
7,1,7,5576245.277507094,5072372.664808106,10648617.942315198,416666.6666666667,3396805.07305995,6835146.202588582,9415,585
8,1,8,4962834.1372015765,5033157.408492879,9995991.545694456,416666.6666666667,3534751.3239536225,6044573.5550741665,9324,676
9,1,9,4908414.964232802,5006884.1569217285,9915299.121154532,416666.6666666667,3446524.2418987122,6052108.212589154,9222,778
10,1,10,4841407.250275189,4950898.0443578735,9792305.294633063,416666.6666666667,3498032.7939358093,5877605.834030587,9127,873
11,1,11,4781500.033622381,4882548.579494572,9664048.613116954,416666.6666666667,3538731.065375181,5708650.881075107,9033,967
12,1,12,5218776.478829823,4895084.772849369,10113861.251679193,416666.6666666667,3078056.826857204,6619137.758155324,8936,1064
13,2,1,4215929.991223354,4716196.391880049,8932126.383103404,416666.6666666667,3303728.0626883083,5211731.65374843,8856,1144
14,2,2,4223169.480500874,4623128.522000327,8846298.0025012,416666.6666666667,3400611.6323936204,5029019.703440914,8758,1242
15,2,3,4159701.7860030057,4495639.202925358,8655340.988928363,416666.6666666667,3006944.5992401214,5231729.723021574,8659,1341
16,2,4,4617588.545601771,4563929.683809318,9181518.229411088,416666.6666666667,3103886.162341701,5660965.400402721,8571,1429
17,2,5,4522833.124245579,4554484.0185616445,9077317.142807223,416666.6666666667,3127668.946832824,5532981.529307732,8483,1517
18,2,6,4478413.240856464,4544017.116262722,9022430.357119186,416666.6666666667,2977324.2181772925,5628439.472275227,8399,1601
19,2,7,4854446.493345311,4567820.4023481505,9422266.895693462,416666.6666666667,3286839.671059297,5718760.557967499,8318,1682
20,2,8,4347073.625136787,4454127.246413306,8801200.871550094,416666.6666666667,3047042.513380754,5337491.691502674,8232,1768
21,2,9,4312082.238883383,4406401.348954353,8718483.587837735,416666.6666666667,2456313.551311236,5845503.369859832,8149,1851
22,2,10,4290089.98215721,4364823.674059819,8654913.65621703,416666.6666666667,3074020.630063001,5164226.359487361,8079,1921
23,2,11,4253531.316819956,4319917.784847536,8573449.101667492,416666.6666666667,2311513.168287009,5845269.266713816,7993,2007
24,2,12,4631904.171780313,4373018.174769185,9004922.346549498,416666.6666666667,2787544.0671586506,5800711.612724181,7930,2070
25,3,1,3709187.2275447357,4247555.393755178,7956742.621299913,416666.6666666667,2084885.2633070503,5455190.691326195,7858,2142
26,3,2,3723984.604736244,4138399.1976734214,7862383.802409666,416666.6666666667,3055798.8229028205,4389918.312840179,7796,2204
27,3,3,3689985.668950424,4038076.47790485,7728062.146855274,416666.6666666667,2889498.940864553,4421896.5393240545,7709,2291
28,3,4,4078441.6941156723,4031037.2210620185,8109478.915177691,416666.6666666667,2162616.6483503752,5530195.600160649,7626,2374
29,3,5,4041070.640666323,4008074.701295065,8049145.341961388,416666.6666666667,2665529.489896375,4966949.185398346,7567,2433
30,3,6,4003567.7550817346,4029466.6922563496,8033034.447338084,416666.6666666667,1963203.790899846,5653163.989771571,7493,2507
31,3,7,4350936.030323308,4075431.4781298125,8426367.50845312,416666.6666666667,3168487.3007438397,4841213.541042613,7439,2561
32,3,8,3882388.3678989196,4028391.8575305063,7910780.225429426,416666.6666666667,2908738.606077312,4585374.952685447,7357,2643
33,3,9,3834897.874127464,3968813.3605934354,7803711.234720899,416666.6666666667,2677105.68490237,4709938.883151862,7279,2721
34,3,10,3814030.9381478005,3964399.232820808,7778430.170968609,416666.6666666667,2716609.177944013,4645154.326357929,7208,2792
35,3,11,3757110.3813450458,3907196.3555770633,7664306.7369221095,416666.6666666667,2666613.0762129994,4581026.994042443,7138,2862
36,3,12,4098175.0181439584,3948197.4597169664,8046372.477860925,416666.6666666667,2501818.890422492,5127886.920771766,7066,2934
