mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,102955.45503469933,87558.42704127787,190513.88207597722,2500.0,241838.07228773375,-53824.19021175653,750,0
2,1,2,95257.54648255424,139150.0655661183,234407.61204867257,2500.0,326776.4211520254,-94868.80910335283,728,22
3,1,3,86503.73298066363,156419.7098465177,242923.44282718134,2500.0,398095.5668966189,-157672.1240694376,704,46
4,1,4,89968.69477651201,180016.4299046907,269985.1246812027,2500.0,468353.90036195575,-200868.77568075305,675,75
5,1,5,82844.50515870369,178592.85533662984,261437.36049533353,2500.0,461329.0012695973,-202391.6407742638,646,104
6,1,6,78856.94811403427,179223.69230731373,258080.64042134798,2500.0,343486.04391261964,-87905.40349127166,619,131
7,1,7,83632.73040906481,182972.994631792,266605.7250408568,2500.0,470766.2081806682,-206660.48313981137,599,151
8,1,8,71990.0316202823,177014.34141275904,249004.37303304134,2500.0,295807.784818765,-49303.41178572367,574,176
9,1,9,69617.6565416514,173831.40089323622,243449.05743488763,2500.0,341977.45302347705,-101028.39558858942,556,194
10,1,10,66527.66673720685,173028.39510419493,239556.0618414018,2500.0,376857.2908310109,-139801.2289896091,538,212
11,1,11,62934.662384372845,164806.9793043497,227741.64168872254,2500.0,256206.26449958968,-30964.62281086715,515,235
12,1,12,67568.97129586728,155544.82094569175,223113.79224155901,2500.0,373662.6802855422,-153048.8880439832,500,250
13,2,1,53387.254351224874,156097.72135318632,209484.9757044112,2500.0,145280.91538162046,61704.06032279073,481,269
14,2,2,52213.717832227194,137683.02715346316,189896.74498569034,2500.0,302721.18287567806,-115324.43788998772,472,278
15,2,3,51475.11440608485,136214.56000670357,187689.67441278842,2500.0,320710.1181454405,-135520.44373265206,455,295
16,2,4,52823.49166072742,136161.80300800657,188985.294668734,2500.0,202178.1974798229,-15692.90281108892,432,318
17,2,5,51911.18400282007,132177.40774426854,184088.5917470886,2500.0,187699.86755902105,-6111.275811932457,419,331
18,2,6,50298.27320709484,125508.43110370902,175806.70431080385,2500.0,344518.4375294615,-171211.73321865767,408,342
19,2,7,53720.53600513784,123699.05706853938,177419.5930736772,2500.0,233649.60858754936,-58730.015513872146,390,360
20,2,8,45916.57585989012,118092.54157454667,164009.1174344368,2500.0,301923.7988190943,-140414.6813846575,376,374
21,2,9,43819.535950567886,114929.17835822848,158748.71430879636,2500.0,267068.1408604864,-110819.42655169006,356,394
22,2,10,42251.91776923584,110830.03888113264,153081.9566503685,2500.0,295555.1902450587,-144973.2335946902,340,410
23,2,11,40232.84480606131,102715.8244453044,142948.6692513657,2500.0,181508.864940317,-41060.195688951295,326,424
24,2,12,43707.16801984552,105943.05229966444,149650.22031950997,2500.0,150926.36308994982,-3776.142770439852,317,433
25,3,1,34119.90938210503,102491.76589554995,136611.67527765498,2500.0,238236.04638261747,-104124.37110496248,308,442
26,3,2,32540.69152460425,100032.37378852133,132573.06531312558,2500.0,157750.71133131874,-27677.64601819316,296,454
27,3,3,30955.628624267858,85799.66589567211,116755.29451993997,2500.0,306150.37713711173,-191895.08261717175,286,464
28,3,4,33116.51843353873,84980.00328044099,118096.52171397972,2500.0,217618.706837705,-102022.18512372527,268,482
29,3,5,31266.477275747053,80587.03255053825,111853.5098262853,2500.0,226253.4839378033,-116899.97411151801,253,497
30,3,6,28941.831773074693,78588.67831795318,107530.51009102787,2500.0,152668.19042260974,-47637.68033158187,241,509
31,3,7,31040.361613644734,72575.53982495736,103615.9014386021,2500.0,272072.29134699557,-170956.38990839347,233,517
32,3,8,27510.316228975582,82043.08754543803,109553.40377441361,2500.0,105198.10974012718,1855.2940342864313,218,532
33,3,9,24634.466722481033,80142.87388610582,104777.34060858685,2500.0,160175.4988882759,-57898.15827968906,210,540
34,3,10,23658.973459407025,67426.18569905942,91085.15915846644,2500.0,170894.7340826702,-82309.57492420377,201,549
35,3,11,22912.21103801562,60863.53584077724,83775.74687879285,2500.0,128148.15091430019,-46872.40403550734,193,557
36,3,12,25755.88598859155,61909.87197412684,87665.7579627184,2500.0,153359.87474818787,-68194.11678546946,186,564
