mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,940.5558797556448,535.6997809226325,1476.2556606782773,833.3333333333334,19800.0,-19157.077672655058,100,0
2,1,2,833.3808481676067,892.2200200265582,1725.6008681941648,833.3333333333334,13432.553152587665,-12540.285617726833,89,11
3,1,3,747.9843275197636,674.3519107677791,1422.3362382875428,833.3333333333334,5387.532422367399,-4798.52951741319,83,17
4,1,4,835.410496797466,1086.1376402874694,1921.5481370849352,833.3333333333334,16000.0,-14911.785196248398,81,19
5,1,5,704.4138961052965,413.4637975083487,1117.8776936136453,833.3333333333334,28973.279675655547,-28688.735315375234,73,27
6,1,6,681.6149206420364,469.96141278966587,1151.5763334317023,833.3333333333334,6279.536906747468,-5961.293906649099,67,33
7,1,7,731.6851042083041,418.2927636846816,1149.9778678929856,833.3333333333334,23612.21004458223,-23295.565510022578,66,34
8,1,8,585.9486233480295,318.6927408054845,904.641364153514,833.3333333333334,13510.509230035303,-13439.201199215122,58,42
9,1,9,547.8709435078911,156.94821927945225,704.8191627873433,833.3333333333334,13732.140760725082,-13860.654931271072,54,46
10,1,10,513.6213140778739,304.3051080144968,817.9264220923707,833.3333333333334,6000.0,-6015.4069112409625,50,50
11,1,11,455.1496098677373,312.33622617452977,767.485836042267,833.3333333333334,8000.0,-8065.847497291066,47,53
12,1,12,456.8520162097376,323.1993594117626,780.0513756215003,833.3333333333334,8800.0,-8853.281957711833,43,57
13,2,1,337.2883936722442,39.743851275416134,377.03224494766033,833.3333333333334,10800.0,-11256.301088385673,39,61
14,2,2,320.0734456460258,156.69671930108927,476.77016494711506,833.3333333333334,5400.0,-5756.563168386218,33,67
15,2,3,266.00755225985165,170.06793563788403,436.0754878977357,833.3333333333334,1800.0,-2197.2578454355976,30,70
16,2,4,298.5235250299613,255.3509183087778,553.8744433387392,833.3333333333334,2000.0,-2279.4588899945943,29,71
17,2,5,283.86542765018885,352.4821923036335,636.3476199538223,833.3333333333334,6000.0,-6196.985713379511,28,72
18,2,6,238.8217022914002,324.90202927789153,563.7237315692917,833.3333333333334,0.0,-269.6096017640417,25,75
19,2,7,272.8586320111733,196.93045348900426,469.7890855001776,833.3333333333334,2200.0,-2563.5442478331556,25,75
20,2,8,232.8739370983234,216.30417904213812,449.1781161404615,833.3333333333334,2000.0,-2384.155217192872,24,76
21,2,9,237.78293240251372,259.0391724610725,496.8221048635862,833.3333333333334,4000.0,-4336.511228469747,23,77
22,2,10,201.1811300773738,101.94855177911148,303.12968185648526,833.3333333333334,0.0,-530.2036514768481,21,79
23,2,11,226.12161758752092,62.52687211215053,288.6484896996715,833.3333333333334,8478.310471010722,-9022.995314644384,21,79
24,2,12,210.72097683443346,50.37219092305384,261.0931677574873,833.3333333333334,2200.0,-2772.240165575846,19,81
25,3,1,163.91578644350318,98.24464582012266,262.1604322636258,833.3333333333334,3600.0,-4171.172901069707,18,82
26,3,2,147.5867786871038,59.98721324699681,207.5739919341006,833.3333333333334,5400.0,-6025.759341399233,16,84
27,3,3,122.37370916239175,123.35378143587072,245.72749059826248,833.3333333333334,0.0,-587.6058427350708,13,87
28,3,4,131.12943833966926,168.42845634485516,299.5578946845244,833.3333333333334,4000.0,-4533.775438648809,13,87
29,3,5,109.24479143070783,162.41309447469854,271.6578859054064,833.3333333333334,0.0,-561.675447427927,11,89
30,3,6,105.5418433391556,119.48554503628976,225.02738837544535,833.3333333333334,0.0,-608.305944957888,11,89
31,3,7,120.39428178171896,135.6604483835279,256.05473016524684,833.3333333333334,0.0,-577.2786031680865,11,89
32,3,8,106.39970997913751,68.98807945763879,175.3877894367763,833.3333333333334,2000.0,-2657.945543896557,11,89
33,3,9,106.1545637829199,140.1241803317783,246.27874411469818,833.3333333333334,2000.0,-2587.054589218635,10,90
34,3,10,80.4845494111465,8.766156184505212,89.25070559565171,833.3333333333334,0.0,-744.0826277376816,9,91
35,3,11,111.86088600837837,155.66800962118396,267.5288956295623,833.3333333333334,0.0,-565.8044377037711,9,91
36,3,12,90.0269862582452,35.54074515964746,125.56773141789266,833.3333333333334,2200.0,-2907.7656019154406,9,91
