mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,1771617.9429114782,1559758.7881357144,3331376.7310471926,352083.3333333333,2777526.121699207,201767.2760146521,6500,0
2,1,2,1423305.3144916787,2429663.16600968,3852968.4805013584,352083.3333333333,4361271.574464151,-860386.4272961258,6261,239
3,1,3,1193515.2599926894,2869371.1614983673,4062886.4214910567,352083.3333333333,5142731.754806459,-1431928.6666487358,6009,491
4,1,4,1156468.3554274214,3154467.849401153,4310936.204828574,352083.3333333333,5377023.618058601,-1418170.7465633606,5749,751
5,1,5,1026973.5109924595,3237329.9739323542,4264303.484924814,352083.3333333333,5330781.590563256,-1418561.438971776,5514,986
6,1,6,940099.6081339676,3224452.541376773,4164552.1495107403,352083.3333333333,5531927.261121508,-1719458.444944101,5291,1209
7,1,7,950873.7327050494,3168811.8621333684,4119685.594838418,352083.3333333333,4482528.3212582,-714926.0597531158,5066,1434
8,1,8,828024.8641566827,3067976.364776841,3896001.2289335234,352083.3333333333,5332442.209912442,-1788524.3143122518,4896,1604
9,1,9,784585.2253005053,2976472.9787405515,3761058.204041057,352083.3333333333,4494084.226149436,-1085109.3554417128,4691,1809
10,1,10,758631.0812402148,2886966.787581804,3645597.868822019,352083.3333333333,4100059.719717341,-806545.1842286554,4515,1985
11,1,11,728159.2407913939,2769886.080186874,3498045.320978268,352083.3333333333,4426648.490762903,-1280686.5031179688,4357,2143
12,1,12,766459.0117152926,2693660.6319497754,3460119.643665068,352083.3333333333,4163358.452510751,-1055322.1421790165,4178,2322
13,2,1,598203.1675362911,2536646.0224099956,3134849.1899462864,352083.3333333333,4382568.850819355,-1599802.994206402,4019,2481
14,2,2,580343.6133725811,2412758.7103735693,2993102.3237461504,352083.3333333333,3681290.3313759705,-1040271.3409631536,3853,2647
15,2,3,558641.4924803725,2313278.2795842094,2871919.772064582,352083.3333333333,2865595.965044276,-345759.52631302737,3702,2798
16,2,4,614349.3381469329,2242403.367916648,2856752.7060635807,352083.3333333333,3790992.4839412803,-1286323.111211033,3585,2915
17,2,5,584082.7289444292,2172914.083025499,2756996.811969928,352083.3333333333,3410500.615082363,-1005587.1364457686,3436,3064
18,2,6,551987.1975099602,2079850.3617171564,2631837.5592271164,352083.3333333333,3830733.041449816,-1550978.815556033,3304,3196
19,2,7,588685.9520909298,2037404.5895529184,2626090.541643848,352083.3333333333,3280944.7405738696,-1006937.5322633549,3152,3348
20,2,8,504878.9438059386,1926623.1333030507,2431502.0771089895,352083.3333333333,3354255.6074637114,-1274836.8636880552,3031,3469
21,2,9,487024.5335415871,1836489.359421562,2323513.892963149,352083.3333333333,3250515.122866849,-1279084.563237033,2908,3592
22,2,10,471857.1074195659,1757805.501285012,2229662.608704578,352083.3333333333,2660904.001109328,-783324.7257380832,2781,3719
23,2,11,454261.1377524004,1702491.3153203041,2156752.4530727044,352083.3333333333,2673182.9185283673,-868513.7987889962,2679,3821
24,2,12,477207.2210471719,1648965.7532889987,2126172.9743361706,352083.3333333333,2677965.22864583,-903875.5876429926,2574,3926
25,3,1,374903.02820007596,1576516.9273110232,1951419.9555110992,352083.3333333333,2296482.0231939247,-697145.4010161588,2477,4023
26,3,2,361135.606397603,1499973.5921895942,1861109.198587197,352083.3333333333,2369084.566922838,-860058.701668974,2384,4116
27,3,3,355207.00374116196,1435129.9715758073,1790336.9753169692,352083.3333333333,2172842.7213970544,-734589.0794134184,2292,4208
28,3,4,377305.96887160034,1388041.7956292322,1765347.7645008327,352083.3333333333,2123477.086772568,-710212.6556050687,2206,4294
29,3,5,360696.25555521005,1343227.3921089622,1703923.647664172,352083.3333333333,2160289.6717955107,-808449.3574646718,2123,4377
30,3,6,345140.2619742474,1263433.311988667,1608573.5739629143,352083.3333333333,2590493.637373401,-1334003.3967438198,2041,4459
31,3,7,362186.28979530936,1230767.6742222775,1592953.9640175868,352083.3333333333,1788148.3839854952,-547277.7533012417,1941,4559
32,3,8,320015.7625530166,1175742.6644853763,1495758.427038393,352083.3333333333,1872521.3381416677,-728846.2444366079,1869,4631
33,3,9,304115.7195589523,1121586.0427473201,1425701.7623062725,352083.3333333333,1678037.4039715289,-604418.9749985896,1794,4706
34,3,10,301901.9970860514,1067417.9846825278,1369319.9817685792,352083.3333333333,2719635.484690976,-1702398.83625573,1730,4770
35,3,11,279844.38669364963,1012356.9576994759,1292201.3443931255,352083.3333333333,1725949.3594876518,-785831.3484278596,1630,4870
36,3,12,298504.0091779753,981089.7393657699,1279593.7485437451,352083.3333333333,1592870.3776196248,-665359.962409213,1565,4935
