mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,250439.10421719897,251627.00821723064,502066.1124344296,1666.6666666666667,439546.0175476294,60853.42822013347,1000,0
2,1,2,219082.75786164706,392376.6217342633,611459.3795959104,1666.6666666666667,591841.1418020051,17951.571127238683,971,29
3,1,3,201128.1829153347,477068.20181560324,678196.3847309379,1666.6666666666667,704336.6875096217,-27806.969445350464,943,57
4,1,4,205581.89995540332,510043.77699881117,715625.6769542145,1666.6666666666667,715976.718357902,-2017.708070354187,913,87
5,1,5,198197.22142962654,549656.3964509941,747853.6178806206,1666.6666666666667,546745.2164252364,199441.7347887176,887,113
6,1,6,183112.2877040294,557609.1025747654,740721.3902787948,1666.6666666666667,620234.9091286501,118819.81448347808,867,133
7,1,7,194137.7085405023,566568.3742069763,760706.0827474785,1666.6666666666667,629142.4486338192,129896.96744699264,845,155
8,1,8,169937.33747479142,543222.9908362487,713160.3283110402,1666.6666666666667,579142.0464473445,132351.61519702908,822,178
9,1,9,167901.4836883248,515523.4710276495,683424.9547159743,1666.6666666666667,794399.5857483547,-112641.29769904702,801,199
10,1,10,159741.2140335332,502106.0049851242,661847.2190186575,1666.6666666666667,505748.90411635564,154431.6482356352,772,228
11,1,11,158593.0797353569,484462.9096239932,643055.9893593502,1666.6666666666667,671504.9724082721,-30115.649715588544,755,245
12,1,12,168609.35039072426,488082.9853079272,656692.3356986514,1666.6666666666667,612896.311756628,42129.35727535677,733,267
13,2,1,130747.20309534644,455319.01689929684,586066.2199946432,1666.6666666666667,496446.2992690576,87953.25405891903,711,289
14,2,2,132153.7684121522,449095.9065265968,581249.674938749,1666.6666666666667,548282.3441372619,31300.664134820574,692,308
15,2,3,128381.31208509815,423342.3416029892,551723.6536880874,1666.6666666666667,755799.3680821715,-205742.3810607508,672,328
16,2,4,138092.73173717406,420633.97675430373,558726.7084914778,1666.6666666666667,610120.8683566061,-53060.82653179497,647,353
17,2,5,130516.00928931012,415810.87996776483,546326.8892570749,1666.6666666666667,647700.156903473,-103039.93431306467,623,377
18,2,6,123376.38219667661,415240.20515971095,538616.5873563875,1666.6666666666667,378537.2867646426,158412.63392507832,601,399
19,2,7,134891.06460513893,419804.43065666204,554695.4952618009,1666.6666666666667,634521.4865205048,-81492.6579253705,587,413
20,2,8,115781.82812764823,401495.363122975,517277.1912506232,1666.6666666666667,594293.6966986067,-78683.1721146502,565,435
21,2,9,111195.29868874462,379361.3167962797,490556.6154850243,1666.6666666666667,661517.3027793667,-172627.35396100912,546,454
22,2,10,107832.69711326085,361781.04540566844,469613.7425189293,1666.6666666666667,138171.33419717225,329775.74165509036,526,474
23,2,11,108697.26350622207,342114.50177778536,450811.7652840074,1666.6666666666667,476523.60752199247,-27378.50890465174,521,479
24,2,12,116972.14594141301,334106.55243265844,451078.69837407145,1666.6666666666667,429388.0359510908,20023.99575631396,504,496
25,3,1,92270.21653643306,319788.40534208197,412058.621878515,1666.6666666666667,266056.6173453798,144335.33786646853,489,511
26,3,2,89595.79579518744,304865.2163301842,394461.0121253716,1666.6666666666667,596653.9029654055,-203859.55750670057,476,524
27,3,3,86829.11126222876,289832.4099242335,376661.52118646225,1666.6666666666667,326797.00473953714,48197.84978025843,456,544
28,3,4,93376.45841896952,292210.88595834654,385587.34437731607,1666.6666666666667,286015.0595489756,97905.61816167377,443,557
29,3,5,90192.72903002311,301052.37616181787,391245.10519184096,1666.6666666666667,288528.2797501739,101050.15877500037,432,568
30,3,6,85156.0241893087,297694.80168507114,382850.82587437984,1666.6666666666667,246173.66555048677,135010.49365722638,420,580
31,3,7,91918.24813065927,273744.6803035179,365662.9284341772,1666.6666666666667,425198.47523240227,-61202.21346489177,411,589
32,3,8,83734.16673888157,253098.8160265457,336832.98276542727,1666.6666666666667,400969.25257908425,-65802.93648032367,399,601
33,3,9,81425.05253029926,255860.4933763891,337285.5459066883,1666.6666666666667,381447.8037539369,-45828.92451391526,386,614
34,3,10,76255.8199093777,257170.79453802714,333426.61444740486,1666.6666666666667,385838.92092036054,-54078.973139622365,370,630
35,3,11,73565.49070336205,254177.79721053518,327743.28791389725,1666.6666666666667,173752.39421935577,152324.2270278748,361,639
36,3,12,80107.72210609016,246829.29151487854,326937.0136209687,1666.6666666666667,414405.7958170452,-89135.44886274321,356,644
