mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,2965769.516696235,1913186.0090710307,4878955.525767266,400000.0,3679953.774946679,799001.7508205869,8000,0
2,1,2,2436173.4172826437,2956089.2838599184,5392262.701142563,400000.0,4765398.743656938,226863.9574856246,7753,247
3,1,3,2125516.19357925,3488698.8464829084,5614215.040062158,400000.0,5796317.637004395,-582102.5969422366,7515,485
4,1,4,2137789.6342739775,3852525.473718044,5990315.107992021,400000.0,5807208.105081427,-216892.99708940554,7258,742
5,1,5,1937284.7336928688,3999590.6999892034,5936875.433682072,400000.0,5468815.11691892,68060.31676315237,7033,967
6,1,6,1824449.8211607086,4060026.8270055056,5884476.648166214,400000.0,5807657.652257708,-323181.0040914938,6833,1167
7,1,7,1892811.4495083294,4108558.966115189,6001370.415623518,400000.0,5681191.701717226,-79821.28609370813,6625,1375
8,1,8,1627469.6612822635,4019876.068166174,5647345.729448438,400000.0,4827899.796806401,419445.93264203705,6433,1567
9,1,9,1580490.0135875365,3906599.798006446,5487089.811593982,400000.0,4866217.784404796,220872.02718918677,6267,1733
10,1,10,1532308.0748352096,3809984.7395717865,5342292.814406997,400000.0,4821853.337144397,120439.4772625994,6095,1905
11,1,11,1495296.8370365137,3679415.072670089,5174711.909706603,400000.0,4935304.266919791,-160592.35721318796,5925,2075
12,1,12,1612685.1209224921,3614566.977130071,5227252.098052563,400000.0,5611972.803845286,-784720.7057927232,5757,2243
13,2,1,1258409.3264612039,3442896.3411287325,4701305.667589936,400000.0,4625497.9430200765,-324192.2754301401,5573,2427
14,2,2,1230410.3917675263,3304751.8270306303,4535162.218798157,400000.0,4401245.078641226,-266082.85984306876,5407,2593
15,2,3,1212513.923947598,3180350.4392162724,4392864.363163871,400000.0,4474106.701103201,-481242.3379393304,5250,2750
16,2,4,1305657.9034080298,3123880.8959685965,4429538.7993766265,400000.0,4457995.214993359,-428456.4156167321,5086,2914
17,2,5,1261317.0882211486,3087226.092519438,4348543.1807405865,400000.0,3807112.346392393,141430.83434819337,4931,3069
18,2,6,1214547.1722732028,3005451.7843061164,4219998.956579319,400000.0,4116714.78003929,-296715.82345997076,4801,3199
19,2,7,1288888.491237911,2950583.3207667307,4239471.812004642,400000.0,4795271.295889925,-955799.4838852836,4658,3342
20,2,8,1121744.595286421,2842055.26240389,3963799.857690311,400000.0,3453393.3804753316,110406.47721497947,4503,3497
21,2,9,1103952.3618433264,2760248.31678105,3864200.6786243767,400000.0,3753019.948400481,-288819.2697761045,4383,3617
22,2,10,1070679.880124069,2665832.559316184,3736512.439440253,400000.0,4188612.5560921486,-852100.1166518955,4251,3749
23,2,11,1032905.6453641974,2573398.996111749,3606304.6414759466,400000.0,3541029.4229017342,-334724.7814257876,4107,3893
24,2,12,1101858.3849412946,2522724.4432243984,3624582.828165693,400000.0,3429092.283881497,-204509.4557158039,3989,4011
25,3,1,874668.3770967595,2409574.316834282,3284242.6939310418,400000.0,3744657.7562060817,-860415.06227504,3875,4125
26,3,2,849785.196910512,2315120.2026982037,3164905.399608716,400000.0,3569770.237099284,-804864.8374905679,3743,4257
27,3,3,824417.8353640946,2238093.393289029,3062511.2286531236,400000.0,2722240.4310939526,-59729.202440829016,3614,4386
28,3,4,889724.0560400863,2187322.6100611095,3077046.666101196,400000.0,3003613.555842516,-326566.88974132016,3513,4487
29,3,5,864002.2003107675,2145306.7428975417,3009308.9432083094,400000.0,2899799.1185432044,-290490.17533489503,3411,4589
30,3,6,830103.1717827837,2095954.3539007984,2926057.525683582,400000.0,2904772.1794097046,-378714.6537261228,3311,4689
31,3,7,882043.76074766,2045938.4875483247,2927982.2482959847,400000.0,2835406.6597329816,-307424.4114369969,3212,4788
32,3,8,780069.4299508336,1984813.751182162,2764883.1811329955,400000.0,2177208.173380867,187675.0077521284,3117,4883
33,3,9,758263.3920625017,1879869.6251152959,2638133.017177798,400000.0,2652225.994136002,-414092.97695820406,3041,4959
34,3,10,754552.5500931873,1813773.7568387713,2568326.3069319585,400000.0,2423746.858012723,-255420.55108076427,2952,5048
35,3,11,734184.7324225709,1780310.2180570408,2514494.9504796118,400000.0,2464448.0274336203,-349953.07695400855,2871,5129
36,3,12,778185.6312168919,1734505.907713918,2512691.53893081,400000.0,2700960.4664420155,-588268.9275112054,2785,5215
